Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WH4_1	WH4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29819871.0	0.0	151.0	53.0	18.60106793036031	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WH4_2	WH4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29819871.0	0.0	151.0	53.0	19.730809325423174	151.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	warn
WH5_1	WH5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41730719.0	0.0	151.0	53.0	16.54878792682471	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WH5_2	WH5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41730719.0	0.0	151.0	53.0	17.654349081698395	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
WN1_1	WN1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45059626.0	0.0	151.0	54.0	16.75174939372037	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WN1_2	WN1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45059626.0	0.0	151.0	54.0	19.132013747362457	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WN2_1	WN2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35150010.0	0.0	151.0	54.0	16.310691516255673	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
WN2_2	WN2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35150010.0	0.0	151.0	54.0	17.431405612092732	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WN3_1	WN3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42262923.0	0.0	151.0	53.0	18.863188138261233	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
WN3_2	WN3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42262923.0	0.0	151.0	53.0	19.21151628057076	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WN4_1	WN4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39777505.0	0.0	151.0	53.0	20.165259248794985	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
WN4_2	WN4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39777505.0	0.0	151.0	53.0	22.630323056070264	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
WN5_1	WN5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56823778.0	0.0	151.0	53.0	15.5542290748592	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
WN5_2	WN5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56823778.0	0.0	151.0	53.0	16.507793716890912	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
