Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s14_2	s14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18676668.0	0.0	51.0	53.0	39.58224859772886	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s15_1	s15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15303802.0	0.0	51.0	53.0	40.6117779592267	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
s15_2	s15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15303802.0	0.0	51.0	54.0	41.13269044017513	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s16_1	s16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17693110.0	0.0	51.0	53.0	35.868932737421645	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s16_2	s16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17693110.0	0.0	51.0	55.0	35.563317161714956	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s17_1	s17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19423115.0	0.0	51.0	54.0	34.26698898282147	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s17_2	s17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19423115.0	0.0	51.0	55.0	35.182493189696935	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s18_1	s18_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12998838.0	0.0	51.0	53.0	35.93463372486024	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s18_2	s18_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12998838.0	0.0	51.0	55.0	38.70863939144734	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s19_1	s19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11787646.0	0.0	51.0	54.0	34.13739437489991	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s19_2	s19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11787646.0	0.0	51.0	56.0	34.66813336947402	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s20_1	s20_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11770140.0	0.0	51.0	54.0	40.12819327201769	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s20_2	s20_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11770140.0	0.0	51.0	55.0	42.146408125922	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s21_1	s21_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15086601.0	0.0	51.0	53.0	40.775801543466756	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s21_2	s21_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15086601.0	0.0	51.0	54.0	40.37899568603989	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s22_1	s22_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16027135.0	0.0	51.0	53.0	46.02101184358383	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
s22_2	s22_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16027135.0	0.0	51.0	54.0	46.75507211314646	51.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
s23_1	s23_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18974551.0	0.0	51.0	54.0	32.6272130472519	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
s23_2	s23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18974551.0	0.0	51.0	55.0	32.41387511137632	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
s24_1	s24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19867049.0	0.0	51.0	52.0	40.02920787303912	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s24_2	s24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19867049.0	0.0	51.0	54.0	40.026669242197336	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s25_1	s25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18440885.0	0.0	51.0	54.0	34.493258231414295	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
